TreeUID,Farm,Treatment,Season,Diameter,Flower Intensity,No. of young pods,Damaged young pods,Matured pod,Damaged pod,Canopy health,pest,Mean pH,SD pH,Mean N (%),SD N (%),Mean P (mg/Kg),SD P (mg/Kg),Mean K (mg/Kg),SD K (mg/Kg),Mean  Ca(mg/Kg),SD  Ca(mg/Kg),Mean Mg(mg/Kg),SD Mg(mg/Kg),Mean O.C (%),SD O.C (%),Mean O.M (%),SD O.M (%),Mean NDVI,SD NDVI
F_1_I_BC_8,Farm 1,I_BC,Wet,29,Moderate,4,0,6,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_9,Farm 1,I_BC,Wet,34,High,19,1,5,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_10,Farm 1,I_BC,Wet,43,Moderate,9,1,10,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_11,Farm 1,I_BC,Wet,35,Moderate,20,3,13,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_12,Farm 1,I_BC,Wet,29,Moderate,15,2,9,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_13,Farm 1,I_BC,Wet,53,Low,5,1,17,7,High,Low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_14,Farm 1,I_BC,Wet,35,High,9,0,5,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_15,Farm 1,I_BC,Wet,25,Low,3,0,6,0,Moderate,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_16,Farm 1,I_BC,Wet,42,Moderate,7,1,14,0,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_17,Farm 1,I_BC,Wet,40.5,Moderate,10,1,12,0,Moderate,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_18,Farm 1,I_BC,Wet,30.5,Moderate,7,0,14,0,Moderate,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_19,Farm 1,I_BC,Wet,38,Moderate,25,4,24,2,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_BC_20,Farm 1,I_BC,Wet,33,Low,10,1,7,1,High,Very low,6.8,0.36,0.126,0.03,16.389,3.43,27.559,38.5,1560,294.74,312,73.45,1.277,0.61,2.201,1.05,0.84,0
F_1_I_C_1,Farm 1,I_C,Wet,24.5,Very low,5,2,13,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_2,Farm 1,I_C,Wet,36.5,Low,25,6,24,2,High,Low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_3,Farm 1,I_C,Wet,34,Low,20,20,24,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_4,Farm 1,I_C,Wet,41,Moderate,7,0,16,2,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_5,Farm 1,I_C,Wet,31.5,Moderate,8,3,8,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_6,Farm 1,I_C,Wet,27,Low,6,4,11,0,Moderate,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_7,Farm 1,I_C,Wet,34,Moderate,14,4,15,0,High,Low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_8,Farm 1,I_C,Wet,24.5,Very low,2,1,17,0,Very High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_9,Farm 1,I_C,Wet,31,Moderate,7,0,7,0,Moderate,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_10,Farm 1,I_C,Wet,24.5,High,5,0,3,0,Moderate,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_11,Farm 1,I_C,Wet,29,Moderate,6,0,5,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_12,Farm 1,I_C,Wet,25,Very low,1,0,1,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_13,Farm 1,I_C,Wet,34.5,Moderate,9,1,3,1,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_14,Farm 1,I_C,Wet,43,Moderate,6,2,1,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_15,Farm 1,I_C,Wet,25,Low,9,0,6,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_16,Farm 1,I_C,Wet,36,Moderate,11,0,6,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_17,Farm 1,I_C,Wet,23,Moderate,11,0,10,2,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_18,Farm 1,I_C,Wet,35.5,Moderate,75,15,4,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_19,Farm 1,I_C,Wet,42.5,Moderate,5,0,7,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_I_C_20,Farm 1,I_C,Wet,40.5,Moderate,15,2,2,0,High,Very low,6.15,0.63,0.14,0.05,7.559,6.36,215.834,391.22,4560,1522.68,2016,734,0.838,0.87,1.445,1.5,0.81,0
F_1_TS_BCM_1,Farm 1,TS_BCM,Wet,31.5,Low,6,1,27,3,High,Low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_2,Farm 1,TS_BCM,Wet,38,Low,8,1,7,1,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_3,Farm 1,TS_BCM,Wet,46.5,Moderate,3,0,5,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_4,Farm 1,TS_BCM,Wet,33.5,Moderate,8,0,9,1,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_5,Farm 1,TS_BCM,Wet,37.5,Low,2,0,6,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_6,Farm 1,TS_BCM,Wet,37,Very low,6,0,5,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_7,Farm 1,TS_BCM,Wet,42,Moderate,3,0,5,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_8,Farm 1,TS_BCM,Wet,30,Moderate,3,0,2,0,Moderate,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_9,Farm 1,TS_BCM,Wet,33,Very low,6,0,7,0,Moderate,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_10,Farm 1,TS_BCM,Wet,29,Very low,4,0,5,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_11,Farm 1,TS_BCM,Wet,26,Very low,3,0,13,2,High,Low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_12,Farm 1,TS_BCM,Wet,48,Low,1,0,3,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_13,Farm 1,TS_BCM,Wet,25,Very low,14,8,20,1,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_14,Farm 1,TS_BCM,Wet,33.5,Moderate,12,1,0,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_15,Farm 1,TS_BCM,Wet,36,High,3,0,3,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_16,Farm 1,TS_BCM,Wet,26,Low,3,1,4,0,Moderate,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_17,Farm 1,TS_BCM,Wet,29,Low,11,0,7,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_18,Farm 1,TS_BCM,Wet,29,Low,11,1,3,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_19,Farm 1,TS_BCM,Wet,32,Moderate,7,0,10,0,Moderate,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_BCM_20,Farm 1,TS_BCM,Wet,35,High,17,0,11,0,High,Very low,5.46,0.67,0.147,0.09,14.623,67.82,117.906,493.03,1160,1213.37,312,269.72,1.596,0.85,2.752,1.47,0.81,0
F_1_TS_O_1,Farm 1,TS_O,Wet,33,Very low,3,0,5,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_2,Farm 1,TS_O,Wet,26.5,Very low,3,0,3,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_3,Farm 1,TS_O,Wet,30,Low,4,0,5,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_4,Farm 1,TS_O,Wet,26,Very low,4,1,0,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_5,Farm 1,TS_O,Wet,31.4,Low,4,0,2,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_6,Farm 1,TS_O,Wet,36.7,Moderate,1,0,6,2,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_7,Farm 1,TS_O,Wet,27.5,Low,0,0,2,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_8,Farm 1,TS_O,Wet,32,Moderate,5,0,0,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_9,Farm 1,TS_O,Wet,23.5,Low,2,0,4,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_10,Farm 1,TS_O,Wet,34,Moderate,5,0,9,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_11,Farm 1,TS_O,Wet,32.5,Low,1,0,6,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_12,Farm 1,TS_O,Wet,27,Moderate,0,0,2,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_13,Farm 1,TS_O,Wet,40.7,Very low,3,0,14,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_14,Farm 1,TS_O,Wet,23.8,Very low,0,0,0,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_15,Farm 1,TS_O,Wet,26.5,Very low,0,0,0,0,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_16,Farm 1,TS_O,Wet,22.5,Very low,3,1,4,0,Moderate,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_17,Farm 1,TS_O,Wet,32.4,Very low,0,0,1,0,Moderate,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_18,Farm 1,TS_O,Wet,29,Moderate,6,2,1,0,Moderate,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_19,Farm 1,TS_O,Wet,41,Very low,0,0,1,1,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_O_20,Farm 1,TS_O,Wet,34.8,High,3,0,9,2,High,Very low,6.09,0.14,0.161,0.03,11.091,2.14,95.431,23.52,1560,400.8,216,104.06,1.875,0.54,3.233,0.93,,
F_1_TS_C_1,Farm 1,TS_C,Wet,29.8,Moderate,0,0,2,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_2,Farm 1,TS_C,Wet,19,Low,9,1,0,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_3,Farm 1,TS_C,Wet,35.4,Very low,3,0,1,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_4,Farm 1,TS_C,Wet,31.5,High,10,1,1,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_5,Farm 1,TS_C,Wet,34.3,Very low,0,0,0,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_6,Farm 1,TS_C,Wet,28.5,Very low,8,1,1,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_7,Farm 1,TS_C,Wet,22.5,High,9,2,3,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_8,Farm 1,TS_C,Wet,29.5,Low,13,0,6,0,Moderate,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_9,Farm 1,TS_C,Wet,36.5,Very low,0,0,0,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_10,Farm 1,TS_C,Wet,32.5,Low,3,0,2,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_11,Farm 1,TS_C,Wet,27,Moderate,7,0,2,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_12,Farm 1,TS_C,Wet,26,Very low,0,0,0,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_13,Farm 1,TS_C,Wet,32.5,Very low,2,1,0,0,Moderate,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_14,Farm 1,TS_C,Wet,24,Moderate,6,0,0,0,Moderate,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_15,Farm 1,TS_C,Wet,26,High,2,0,2,0,Moderate,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_16,Farm 1,TS_C,Wet,20,Very low,12,0,2,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_17,Farm 1,TS_C,Wet,28,Low,3,1,2,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
F_1_TS_C_18,Farm 1,TS_C,Wet,21.5,Moderate,6,1,6,0,High,Very low,5.69,0.19,0.189,0.09,11.091,2.68,73.669,133.57,1680,785.88,360,746.34,0.678,0.97,1.169,1.68,0.92,0
